City,Population,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area,Fields/ Diamonds,Tennis_dedicdated,Pickleball_dedicated,Pickleball_combined,Hoops,Community_garden_sites,Dog_parks,Playgrounds,Rec_senior_centers,Restrooms,Skateparks,Splashpads,Swimming_pools,Disc_golf_courses,investment_dollars
"Omaha, NE",493794.0,20.931805570744075,5.143845409219229,0.11628377922282475,5.407113087643836,7.209484116858447,0.729048955637371,1.9846332681239547,7.209484116858447,0.008100543951526344,0.6075407963644759,3.9490151763690933,0.6885462358797393,1.194830232850136,0.6075407963644759,2.6326767842460623,3.4427311793986966,0.8100543951526344,114.98504353029806
"Orlando, FL",312834.0,11.188042220474758,4.059661034286554,0.05532809560694921,2.0458134346010985,2.589232628167015,0.6393166983128432,0.7671800379754119,5.114533586502746,0.009589750474692649,0.9589750474692649,1.9818817647698141,1.3425650664569708,2.2376084440949513,0.3196583491564216,0.3196583491564216,3.5162418407206375,0.9589750474692649,188.18334068547537
"Philadelphia, PA",1598945.0,6.661767603013236,3.095791287380116,0.12803567564968626,4.327853678519274,3.114553658818784,0.3627391811475692,0.3627391811475692,5.453595964839316,0.011882835244489335,0.5003299050311298,1.619818067538283,2.063860858253411,2.163926839259637,0.3127061906444562,6.6919124797913625,4.565510383409061,0.06254123812889123,107.98516685264346
"Phoenix, AZ",1634270.0,31.218831649605022,1.43183194943308,0.15533235705130352,1.3339289101556047,1.5052592288911868,0.8566515936779112,0.9545546329553868,2.790236619408054,0.004283257968389556,0.7342727945810668,0.9912682726844402,0.40385003701958677,1.0463387322780202,0.5507045959358,0.7954621941294889,1.7744925869042447,0.30594699774211115,76.05970366610168
"Pittsburgh, PA",304976.0,13.689601804732176,0.0,0.11809464543320228,2.819894024447825,4.524946225276743,0.9836839620166833,0.9836839620166833,7.410419180525681,0.022952625780389275,2.2952625780389275,3.934735848066733,1.836210062431142,2.8854729552489378,0.9836839620166833,9.836839620166833,7.869471696133466,0.6557893080111222,149.53351584649283
"Plano, TX",289490.0,13.60323327230647,4.697917026494871,0.08582138342849671,4.387025458565063,5.734222252927562,0.5526961207641023,1.6580883622923073,6.528722926525959,0.0034543507547756397,1.036305226432692,4.490655981208332,0.34543507547756397,2.0380669453176274,0.34543507547756397,1.036305226432692,3.7997858302532035,0.34543507547756397,183.54369090953054
"Port St. Lucie, FL",227603.0,11.959420570027635,1.9771268392771626,0.035674967234600265,1.7135099273735406,1.405956863485982,2.460424511100469,3.16340294284346,1.3180845595181083,0.004393615198393694,1.7574460793574778,1.0984037995984237,0.17574460793574775,0.0,0.0,0.43936151983936944,0.0,0.0,72.63580854030921
"Portland, OR",656129.0,21.858597928151323,4.999016961603587,0.1744182030451914,2.1642085626454555,3.3072764654511535,0.0,0.8534907007615881,3.368240086934124,0.0899213416873816,5.791544040882204,3.3225173708218967,0.4572271611222793,6.096362148297057,1.2192724296594115,3.9626353963930874,1.6764995907816909,0.3048181074148529,264.0850954324531
"Raleigh, NC",483074.0,22.338399499869585,3.457027287744735,0.11249517852488924,2.0286746958022994,4.636970733262399,0.4968182928495427,0.5796213416577999,5.1130882639098765,0.002070076220206428,1.6560609761651424,2.463390702045649,1.5318564029527566,2.1735800312167495,0.2070076220206428,1.035038110103214,1.6560609761651424,0.6210228660619284,193.19279541933534
"Reno, NV",271456.0,12.425586467051751,3.2049392903453966,0.05092550653742791,1.6577272191441705,2.947070611811859,1.4735353059059295,1.4735353059059295,3.4996463515265823,0.01105151479429447,1.8419191323824118,2.836555463868914,0.2947070611811859,2.173464576211246,3.315454438288341,2.947070611811859,1.4735353059059295,0.3683838264764824,59.12391846192384
"Richmond, VA",232634.0,12.008949680614185,8.296293748979084,0.07284529738468358,3.567836171840746,11.692186008923889,2.235270854647214,2.235270854647214,7.307616255577431,0.09456915154276675,1.2895793392195465,2.4931867224911235,1.805411074907365,4.556513665242398,1.2895793392195465,1.2895793392195465,3.8687380176586394,0.8597195594796977,173.19491275823825
"Riverside, CA",317795.0,12.510423386145158,2.265611479098161,0.07726654358177049,2.297078305196746,1.6992086093236205,1.4474740005349362,1.4474740005349362,4.342422001604808,0.009440047829575669,0.6293365219717113,1.3530735222391792,1.384540348337765,2.20267782690099,0.6293365219717113,1.5733413049292784,2.2026778269009895,0.31466826098585565,89.09083493698768
"Sacramento, CA",531007.0,11.469566314568358,4.538546572832374,0.09754192091481285,4.500882285920901,1.9208786324850708,0.45197144293766367,0.7532857382294394,3.295625104753798,0.03578107256589838,3.201464387475118,4.36905728173075,0.7156214513179676,1.7702214848391828,3.201464387475118,5.273000167606077,2.4481786492456785,0.9416071727867994,111.61332533996728
